,experience_level,employment_type,job_title,company_location,company_size
2485,SE,FT,Data Analyst,US,M
2985,MI,FT,Data Scientist,NL,M
417,SE,FT,Data Scientist,US,M
2324,SE,FT,Analytics Engineer,US,M
1418,SE,FT,Data Scientist,US,M
3031,SE,FT,Data Architect,US,M
2256,SE,FT,Data Analyst,US,M
2404,SE,FT,Data Engineer,US,M
3241,MI,FT,Data Scientist,GB,M
694,EN,FT,Data Engineer,US,M
582,EN,FT,Data Scientist,US,M
773,SE,FT,Data Engineer,US,M
1861,MI,FT,Data Analyst,US,M
24,SE,FT,Analytics Engineer,GB,M
786,SE,FT,Data Scientist,US,M
1186,SE,FT,Machine Learning Engineer,US,M
170,SE,FT,Analytics Engineer,US,M
3148,SE,FT,Data Analyst,US,M
1482,MI,FT,Data Analyst,US,M
930,SE,FT,Data Scientist,US,M
2784,MI,FT,Business Data Analyst,US,L
1073,SE,FT,Data Scientist,US,M
2799,SE,FT,Data Engineer,US,M
597,EN,FT,Data Analyst,US,M
2513,MI,FT,ML Engineer,US,M
3097,MI,FT,Data Scientist,DE,S
2598,SE,FT,Data Scientist,US,M
50,SE,FT,Data Scientist,US,M
1444,EN,FT,Marketing Data Engineer,SG,L
2464,SE,FT,Data Scientist,US,M
2261,MI,FT,Data Analyst,US,M
3450,MI,FT,Machine Learning Scientist,US,M
1123,SE,FT,Machine Learning Engineer,US,M
2700,MI,FT,Data Analytics Engineer,US,L
2920,SE,FT,Analytics Engineer,US,M
759,SE,FT,Data Operations Engineer,US,M
1223,EN,FT,Data Analyst,US,L
27,SE,FT,Machine Learning Engineer,US,M
1178,SE,FT,Data Scientist,US,M
315,SE,FT,Data Scientist,US,M
2533,SE,FT,Data Scientist,US,M
2041,EN,FT,Data Analyst,US,L
852,SE,FT,Data Analyst,US,M
1815,SE,FT,Machine Learning Engineer,US,L
6,SE,FT,Applied Scientist,US,L
336,MI,FT,Data Scientist,US,M
1824,SE,FT,Data Engineer,US,M
3636,MI,FT,Data Engineer,US,M
3573,MI,FT,Data Engineer,GB,L
73,SE,FT,Data Scientist,US,M
120,SE,FT,Analytics Engineer,US,M
2947,SE,FT,Data Scientist,US,L
572,SE,FT,Data Analyst,US,M
3352,SE,FT,Data Engineer,US,M
1877,EN,FT,Data Engineer,US,M
940,SE,FT,Analytics Engineer,US,M
1304,SE,FT,Data Analyst,US,M
136,MI,FT,Data Engineer,US,M
2590,SE,FT,Data Scientist,US,M
3518,EX,FT,Head of Data Science,RU,M
2344,SE,FT,Data Scientist,US,M
3274,EX,FT,Data Analyst,US,M
1249,SE,FT,Research Scientist,ES,M
1432,MI,FT,Machine Learning Engineer,US,M
2736,SE,FT,Data Architect,US,M
1519,SE,FT,Data Scientist,US,M
249,SE,FT,Data Scientist,GB,L
1736,MI,FT,Data Engineer,US,M
1152,SE,FT,Data Engineer,US,M
2455,SE,FT,Data Scientist,US,M
1052,SE,FT,Data Analyst,US,M
171,SE,FT,Data Engineer,US,M
3224,MI,FT,Machine Learning Engineer,IT,L
2724,SE,FT,Data Analyst,US,M
3205,MI,FT,Data Engineer,GR,M
3494,MI,FT,Data Scientist,IN,S
3680,MI,FT,Machine Learning Engineer,PL,L
52,SE,FT,Data Scientist,US,M
896,MI,FT,Data Scientist,US,M
1094,SE,FT,Data Engineer,US,M
2966,SE,FT,Lead Machine Learning Engineer,IN,L
982,SE,FT,Data Analyst,US,M
1040,SE,FT,Data Quality Analyst,US,M
353,SE,FT,Data Quality Analyst,US,M
2244,SE,FT,Data Engineer,US,M
3745,SE,FT,Director of Data Science,JP,S
1160,MI,FT,Data Engineer,US,M
1372,SE,FT,Data Engineer,US,M
1202,SE,FT,Data Scientist,US,M
484,MI,FT,Research Scientist,US,M
850,MI,FT,Data Engineer,US,M
3071,EN,FT,Data Analyst,US,S
43,EN,FT,Applied Scientist,US,L
3098,SE,FT,Data Science Manager,US,M
2790,SE,FT,Data Architect,US,L
2187,MI,FT,Data Analyst,US,M
2679,SE,FT,Lead Data Scientist,US,L
314,SE,FT,Data Scientist,US,M
2036,SE,FT,Data Engineer,US,M
1282,SE,FT,Data Science Lead,US,M
2425,SE,FT,Data Architect,US,M
1459,SE,FT,Data Engineer,US,M
470,MI,FT,Data Engineer,US,M
1918,MI,FT,Data Scientist,US,M
3652,MI,FT,Data Scientist,US,L
200,SE,FT,Data Architect,US,M
1227,SE,FT,Data Engineer,US,M
747,EN,FT,Research Scientist,US,M
3394,SE,FT,Data Analyst,US,M
2738,SE,FT,Analytics Engineer,US,M
1458,SE,FT,Data Engineer,US,M
1690,SE,FT,Data Engineer,US,M
2877,SE,FT,Data Engineer,US,M
2711,EX,FT,Data Engineer,US,M
2988,SE,FT,Data Engineer,US,M
432,SE,FT,Machine Learning Engineer,US,M
3457,MI,FT,Research Scientist,CZ,L
3236,SE,FT,Data Engineer,US,M
