,salary_in_usd
2485,100000
2985,89306
417,237000
2324,138750
1418,134000
3031,141300
2256,100000
2404,179305
3241,36940
694,73900
582,120000
773,252000
1861,150000
24,143200
786,159832
1186,140000
170,120000
3148,112900
1482,109000
930,175000
2784,150000
1073,147100
2799,80000
597,85000
2513,100000
3097,60938
2598,153600
50,275300
1444,66970
2464,198440
2261,165000
3450,153000
1123,200000
2700,135000
2920,63000
759,193000
1223,60000
27,200000
1178,129300
315,155000
2533,122500
2041,50000
852,185900
1815,134500
6,136000
336,93918
1824,153600
3636,93150
3573,112872
73,201450
120,143860
2947,119300
572,80000
3352,130000
1877,65000
940,150000
1304,192500
136,70000
2590,155000
3518,85000
2344,185900
3274,130000
1249,253750
1432,150000
2736,135000
1519,110000
249,88256
1736,120000
1152,160000
2455,180000
1052,169000
171,145000
3224,51064
2724,68400
3205,73546
3494,9466
3680,46597
52,218500
896,116990
1094,210000
2966,95386
982,112000
1040,72200
353,80000
2244,105200
3745,168000
1160,120000
1372,150000
1202,182200
484,210000
850,175000
3071,55000
43,110680
3098,249260
2790,195400
2187,206000
2679,156868
314,210000
2036,146000
1282,225900
2425,210000
1459,119000
470,75000
1918,31795
3652,147000
200,200000
1227,252000
747,150000
3394,170000
2738,110000
1458,300000
1690,160000
2877,135000
2711,116100
2988,135000
432,100000
3457,69999
3236,136000
1632,203500
2102,95000
2951,146200
1936,145000
3740,190200
1056,230000
2849,57786
2586,185900
2983,144100
792,129000
1714,275000
3386,100000
113,220000
2863,250000
1644,200000
3025,88100
1047,90000
1656,72000
2043,95000
1099,300240
3076,206699
1388,265000
3371,126000
2645,37824
2622,185900
2442,136000
1154,239000
719,94192
2841,136994
799,188500
1167,247500
3267,99360
1143,180000
926,160000
80,65062
3747,423000
2127,70000
1309,175000
1127,240000
1896,67723
2563,205600
2172,105236
70,115000
150,160000
1898,70000
2271,153600
2982,216200
1848,175000
1807,75000
3537,5409
2568,54000
2326,138750
1466,168400
2761,141525
3280,167000
1437,175000
907,140000
2200,42026
3015,86193
463,170000
3143,83000
1751,250000
2163,130000
2794,195400
3029,141300
442,136000
1602,94000
1744,160000
1392,153600
1266,115000
1603,77262
1954,115934
2896,191475
673,206000
2753,141525
1158,139500
794,245100
2825,129300
1417,183000
3502,200000
2339,37824
3752,105000
1703,165000
1820,135000
2508,123000
1599,182000
512,115000
782,130000
1441,103200
869,75000
1240,124000
3,175000
570,105500
3483,155499
2999,126000
2032,16904
2714,145000
1568,135000
526,200000
2660,180000
1409,112000
3691,98000
2351,100000
3398,135000
1325,66837
1004,110000
2295,68293
1794,291500
2363,156400
1007,310000
3144,92350
3104,93700
2827,182160
1645,170000
3285,138600
1067,185000
153,100000
2056,115934
111,203000
3292,160000
1326,63192
520,183000
1661,105000
1151,200000
2263,148000
3228,160000
939,156400
612,58000
1415,160000
2980,200000
75,210000
2473,187200
971,34320
839,153400
3220,63040
1428,239000
2154,175000
527,135000
2276,95000
1201,209300
2981,150000
2618,150000
1032,72946
2913,80000
1252,120000
2228,185900
2112,110446
1403,100000
3523,46759
1991,136000
2226,180000
1559,245100
2265,150000
2483,119000
2415,109000
126,129300
1241,115934
1932,310000
1426,184000
3688,88654
478,353200
1939,78000
2019,120000
741,139500
412,155000
1821,125000
2268,135000
2984,115573
2156,130000
1850,40000
1539,170000
309,75000
665,115934
966,150000
3085,63000
1844,127500
3710,21669
3165,92350
3612,200000
1588,113000
3200,84053
1672,120000
2302,169000
392,60000
942,163800
718,141288
955,140000
3060,12171
2587,129300
2204,130000
1301,90000
2878,115000
2467,100000
822,210550
3049,115000
1242,81666
110,133800
3234,58000
2391,145000
745,210914
2876,140250
1802,166000
3376,210000
9,147100
2249,47280
2134,154600
3263,150000
911,78000
1072,85500
1170,156400
1957,140000
2582,185900
740,150000
546,143860
578,143000
3647,135000
1983,102640
1574,145000
2956,185800
3180,164996
2531,70000
2005,246000
2757,141525
366,75000
272,260000
2584,225000
2246,49253
2132,100000
3100,170000
2865,191475
3137,131300
810,104500
932,127599
2439,78000
2203,191200
648,106020
1836,175000
1246,63000
422,70000
2834,15000
3681,8000
492,21461
1163,109371
3568,150000
592,73546
2296,177000
3603,80000
3368,67000
1669,140000
1835,100000
259,160000
663,275000
260,175000
2885,191475
2169,70186
1993,150000
1924,200000
342,257000
2609,88100
2620,139000
523,167500
2170,105000
3084,250000
3177,170000
1347,180000
1394,137500
3540,47282
2944,250000
1323,128000
2306,135000
2180,140250
2257,104663
3030,102100
398,90000
2422,45600
3685,5707
2816,180000
1022,107309
562,85000
3539,54238
1897,105000
2636,148500
3068,175100
2949,105000
453,72914
2234,27317
1629,87000
655,260000
181,66837
2592,85000
355,129300
1776,174500
1125,190000
3128,153000
797,167500
1361,126000
160,115000
1919,44365
3147,148800
3719,152000
860,310000
1907,175000
2350,150000
1035,127467
3467,80000
2358,17684
594,130000
1531,252000
3122,119300
364,110000
1063,171600
1206,48609
1028,139500
3654,174000
1027,109400
2369,80036
2845,134000
2109,99000
3659,40481
1905,130000
2069,130000
813,70000
1251,170000
3527,13400
943,126000
3370,154000
1750,120000
3277,135000
2537,104300
2410,206000
3178,123000
1343,162500
2810,80036
534,129300
1350,135000
326,150450
3587,174000
1789,120000
3498,21013
252,135000
842,175000
714,205000
2992,206000
1978,150000
637,165000
2120,171000
434,120000
2527,52500
788,126000
3373,99000
1339,125686
345,175000
2066,125000
189,140000
2151,60938
215,120000
2371,129300
2514,97000
918,180000
423,146000
3507,62649
3442,83864
2013,50432
3613,109024
2297,131000
1344,185000
3343,213120
3059,150000
793,299500
1942,160000
2993,175100
3218,67723
3345,115000
1570,95000
1775,185000
3590,60757
1239,165000
1342,250000
376,120000
3300,112900
3367,130000
3687,28609
1723,229000
3305,156600
1868,56723
3485,38400
2440,161000
1179,139500
3509,170000
3451,100000
2759,141525
1453,87000
3436,102839
3555,100000
3223,55410
2815,60000
501,225000
769,195652
3469,120402
1117,184700
2434,130000
2037,68293
1730,226700
3416,105000
1333,155850
1813,100000
3635,111775
3750,412000
2942,140000
2914,200000
322,40663
1676,198200
3619,185000
1965,149850
2933,7500
680,75000
3656,21844
3632,72000
2651,161311
2731,210000
2639,95000
2481,76000
1287,188800
2762,200000
2989,85000
2333,204500
3711,110000
3079,54000
756,130000
733,180180
349,130760
224,145000
3197,36940
2014,39925
924,154000
97,217000
2438,85000
2574,185900
2704,140000
350,221000
1681,110000
2289,205000
2558,115000
1770,204500
1652,105200
698,160000
89,185000
1020,140000
3339,75000
2694,165000
1058,153600
593,160000
1413,180180
3582,276000
1737,100000
3288,130000
3350,206699
367,195895
338,175000
2364,169000
808,160000
3126,200000
1423,122000
1278,85066
3620,69741
1371,130000
552,102000
902,201000
3253,120000
1464,220000
173,222200
1563,51508
226,185000
1439,240000
899,129300
3150,240000
1358,225000
2791,131300
3106,100000
3378,210000
1457,107250
2648,105000
1869,120000
2638,115000
3583,188000
